 
24,947 Nittedal	60°4′23″N	10°52′20″E
6,989 Gjerdrum	60°4′57″N	11°0′52″E
41,565 Ullensaker	60°10′15″N	11°11′17″E
23,898 Nes	60°7′51″N	11°29′21″E
26,716 Eidsvoll	60°21′N	11°15′E
15,074 Nannestad	60°14′44″N	10°57′10″E
2,905 Hurdal	60°24′57″N	11°0′31″E
6,859 Hole	60°2′52″N	10°17′28″E
1,057 Flå	60°24′31″N	9°29′3″E
3,273 Nesbyen	60°33′30″N	9°6′4″E
4,667 Gol	60°45′1″N	8°59′5″E
2,611 Hemsedal	60°54′21″N	8°30′53″E
4,719 Ål	60°37′49″N	8°33′40″E
4,504 Hol	60°34′18″N	8°4′18″E
3,502 Sigdal	60°3′9″N	9°36′4″E
2 189 Krødsherad	60°11′42″N	9°39′52″E
14,273 Modum	59°57′27″N	9°58′58″E
20,044 Øvre Eiker	59°46′19″N	9°50′10″E
27,584 Lier	59°47′38″N	10°15′58″E
2,720 Flesberg	59°50′52″N	9°28′56″E
1,370 Rollag	60°1′2″N	9°14′2″E
2,455 Nore og Uvdal	60°18′26″N	8°48′20″E
6,908 Jevnaker	60°16′16″N	10°24′7″E
9,144 Lunner	60°15′10″N	10°40′2″E
17,857 Kongsvinger	60°14′35″N	12°13′32″E
30,598 Hamar	60°47′57″N	11°3′22″E
27,781 Lillehammer	61°7′N	10°28′E
30,319 Gjøvik	60°47′33″N	10°41′42″E
33,842 Ringsaker	61°1′27″N	10°48′7″E
7,633 Løten	60°49′31″N	11°23′27″E
20,317 Stange	60°42′57″N	11°11′25″E
5,100 Nord-Odal	60°26′32″N	11°34′5″E
7,866 Sør-Odal	60°14′12″N	11°44′44″E
6,127 Eidskog	59°59′53″N	12°3′38″E
4,777 Grue	60°27′23″N	12°03′30″E
7,329 Åsnes	60°39′13″N	12°9′11″E
3,743 Våler	60°45′12″N	11°53′51″E
21,086 Elverum	60°55′39″N	11°42′55″E
6,550 Trysil	61°18′36″N	12°18′54″E
4,518 Åmot	61°8′47″N	11°24′57″E
2,530 Stor-Elvdal	61°38′6″N	10°52′27″E
1,858 Rendalen	61°51′34″N	11°10′34″E
1,274 Engerdal	61°53′N	12°2′E
1,620 Tolga	62°24′5″N	11°1′20″E
5,584 Tynset	62°16′31″N	10°49′57″E
2,441 Alvdal	62°4′18″N	10°30′27″E
1,577 Folldal	62°11′57″N	10°2′7″E
1,963 Os	62°28′34″N	11°14′35″E
2,675 Dovre	62°2′6″N	9°28′3″E
2,048 Lesja	62°12′38″N	8°38′41″E
2,202 Skjåk	61°56′10″N	7°57′37″E
2,360 Lom	61°48′39″N	8°38′21″E
3,640 Vågå	61°50′55″N	9°7′16″E
5,723 Nord-Fron	61°39′32″N	9°43′40″E
5,916 Sel	61°49′1″N	9°34′24″E
3,163 Sør-Fron	61°34′8″N	9°55′24″E
4,502 Ringebu	61°32′8″N	10°18′29″E
5,082 Øyer	61°15′55″N	10°24′48″E
6,204 Gausdal	61°16′36″N	9°55′21″E
14,887 Østre Toten	60°36′48″N	10°54′58″E
13,179 Vestre Toten	60°39′10″N	10°35′46″E
13,707 Gran	60°26′28″N	10°29′44″E
5,717 Søndre Land	60°40′37″N	10°16′44″E
6,773 Nordre Land	60°55′55″N	10°1′2″E
3,026 Sør-Aurdal	60°41′47″N	9°39′32″E
1,351 Etnedal	60°58′2″N	9°39′13″E
6,490 Nord-Aurdal	60°57′35″N	9°15′51″E
2,114 Vestre Slidre	61°3′38″N	8°55′2″E
3,248 Øystre Slidre	61°14′11″N	9°8′37″E
